Come from Fsharp
2014-02-21 09:28:46 200 accounts make orders to StateServer, cost time: max=4200.0333, min=22.0028, average=1450.3641735
2014-02-21 09:29:26 200 accounts make orders to StateServer, cost time: max=331.5421, min=19.0024, average=97.6399035
2014-02-21 09:30:06 200 accounts make orders to StateServer, cost time: max=880.1117, min=21.0027, average=250.4292985
2014-02-21 09:30:46 200 accounts make orders to StateServer, cost time: max=406.0515, min=20.5026, average=85.7183824999999
2014-02-21 09:31:26 200 accounts make orders to StateServer, cost time: max=1634.2075, min=21.0026, average=366.0014745
2014-02-21 09:32:06 200 accounts make orders to StateServer, cost time: max=422.5537, min=22.5029, average=72.9717649999999
2014-02-21 09:32:46 200 accounts make orders to StateServer, cost time: max=214.5272, min=21.0027, average=62.2103955
2014-02-21 09:33:26 200 accounts make orders to StateServer, cost time: max=180.0229, min=20.5026, average=61.0027505
2014-02-21 09:34:06 200 accounts make orders to StateServer, cost time: max=137.5175, min=21.5027, average=52.6966945
2014-02-21 09:34:46 200 accounts make orders to StateServer, cost time: max=214.0272, min=20.0025, average=62.2479055
2014-02-21 09:35:26 200 accounts make orders to StateServer, cost time: max=159.5202, min=20.0025, average=44.6206685
2014-02-21 09:36:06 200 accounts make orders to StateServer, cost time: max=166.5211, min=20.5026, average=59.0675045
2014-02-21 09:36:46 200 accounts make orders to StateServer, cost time: max=229.5292, min=21.5027, average=55.347027
2014-02-21 09:37:26 200 accounts make orders to StateServer, cost time: max=186.0236, min=18.0023, average=52.956725
2014-02-21 09:38:06 200 accounts make orders to StateServer, cost time: max=196.0249, min=19.0024, average=56.682201
2014-02-21 09:38:46 200 accounts make orders to StateServer, cost time: max=214.0272, min=19.5025, average=56.7897135
2014-02-21 09:39:26 200 accounts make orders to StateServer, cost time: max=190.0241, min=21.5027, average=52.7692
2014-02-21 09:40:06 200 accounts make orders to StateServer, cost time: max=219.0278, min=20.0026, average=63.0205045
2014-02-21 09:40:46 200 accounts make orders to StateServer, cost time: max=252.5321, min=21.0026, average=53.0067325
2014-02-21 09:41:26 200 accounts make orders to StateServer, cost time: max=182.5232, min=18.0023, average=51.971603
2014-02-21 09:42:06 200 accounts make orders to StateServer, cost time: max=433.055, min=20.5026, average=74.1119065
2014-02-21 09:42:46 200 accounts make orders to StateServer, cost time: max=229.5291, min=20.0026, average=54.374401
2014-02-21 09:43:26 200 accounts make orders to StateServer, cost time: max=157.52, min=18.5023, average=51.171502
2014-02-21 09:44:06 200 accounts make orders to StateServer, cost time: max=240.0305, min=21.0027, average=62.477932
2014-02-21 09:44:46 200 accounts make orders to StateServer, cost time: max=279.0354, min=21.5027, average=51.6140525
2014-02-21 09:45:26 200 accounts make orders to StateServer, cost time: max=253.0321, min=17.5023, average=45.770808
2014-02-21 09:46:06 200 accounts make orders to StateServer, cost time: max=263.0334, min=20.0025, average=54.6244375
2014-02-21 09:46:46 200 accounts make orders to StateServer, cost time: max=232.0295, min=20.5026, average=57.2397639999999
2014-02-21 09:47:26 200 accounts make orders to StateServer, cost time: max=325.0413, min=19.0024, average=78.7124935000001
2014-02-21 09:48:07 200 accounts make orders to StateServer, cost time: max=161.5205, min=19.5024, average=50.0913645
2014-02-21 09:48:47 200 accounts make orders to StateServer, cost time: max=206.0262, min=19.0024, average=51.976601
2014-02-21 09:49:27 200 accounts make orders to StateServer, cost time: max=213.0271, min=19.0024, average=60.930238
2014-02-21 09:50:07 200 accounts make orders to StateServer, cost time: max=239.5304, min=18.5024, average=60.3901655
2014-02-21 09:50:47 200 accounts make orders to StateServer, cost time: max=220.528, min=21.0027, average=48.591166
2014-02-21 09:51:27 200 accounts make orders to StateServer, cost time: max=178.5227, min=21.0027, average=43.1654825
2014-02-21 09:52:07 200 accounts make orders to StateServer, cost time: max=168.5214, min=19.5025, average=49.978843
2014-02-21 09:52:47 200 accounts make orders to StateServer, cost time: max=275.535, min=18.5023, average=61.9253615
2014-02-21 09:53:27 200 accounts make orders to StateServer, cost time: max=248.0315, min=19.5025, average=56.5621835
2014-02-21 09:54:07 200 accounts make orders to StateServer, cost time: max=212.0269, min=20.5026, average=45.775813
2014-02-21 09:54:47 200 accounts make orders to StateServer, cost time: max=468.5595, min=21.5028, average=88.9863
2014-02-21 09:55:27 200 accounts make orders to StateServer, cost time: max=168.5214, min=19.0024, average=57.174765
2014-02-21 09:56:07 200 accounts make orders to StateServer, cost time: max=245.0311, min=21.0027, average=59.2475285
2014-02-21 09:56:47 200 accounts make orders to StateServer, cost time: max=166.5211, min=20.0026, average=46.528404
2014-02-21 09:57:27 200 accounts make orders to StateServer, cost time: max=192.5244, min=18.0023, average=51.839078
2014-02-21 09:58:07 200 accounts make orders to StateServer, cost time: max=236.03, min=23.0029, average=62.587942
2014-02-21 09:58:47 200 accounts make orders to StateServer, cost time: max=669.585, min=19.0024, average=73.5993475
2014-02-21 09:59:27 200 accounts make orders to StateServer, cost time: max=661.584, min=19.5025, average=80.5302265
2014-02-21 10:00:07 200 accounts make orders to StateServer, cost time: max=186.0236, min=17.5023, average=45.035723
2014-02-21 10:00:47 200 accounts make orders to StateServer, cost time: max=129.0164, min=19.5025, average=42.990459
2014-02-21 10:01:27 200 accounts make orders to StateServer, cost time: max=156.5199, min=20.5026, average=45.8383245
2014-02-21 10:02:07 200 accounts make orders to StateServer, cost time: max=194.0246, min=20.5026, average=45.0807285
2014-02-21 10:02:47 200 accounts make orders to StateServer, cost time: max=224.5285, min=20.0026, average=45.6658025
2014-02-21 10:03:27 200 accounts make orders to StateServer, cost time: max=232.5295, min=20.0025, average=54.26439
2014-02-21 10:04:07 200 accounts make orders to StateServer, cost time: max=233.5296, min=21.5027, average=47.0059655
