2015-03-09 17:20:39,057 [10] INFO TransactionServerTest.Program - Started
2015-03-09 17:20:41,197 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:20:53,899 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:21:06,569 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:21:18,769 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:21:31,347 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:21:43,781 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:21:56,482 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:22:08,725 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:22:21,334 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:22:34,060 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:22:46,485 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:22:58,684 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:23:10,918 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
2015-03-09 17:23:23,638 [12] INFO Protocal.Communication.ProxyBase`1[[Protocal.IGatewayService, Protocal, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] - Discovery gateway service
